location_name,latitude,longitude,parameter,value,unit,year,month,day,hour
Albemarle HS,38.07657,-78.50397,o3,0.045,ppm,2020,5,17,1
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,17,2
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,5,17,3
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,17,4
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,17,5
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,17,6
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,5,17,7
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,5,17,8
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,5,17,9
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,5,17,10
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,5,17,11
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,5,17,12
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,5,17,13
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,5,17,14
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,17,15
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,17,16
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,5,17,17
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,5,17,18
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,5,17,19
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,17,20
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,17,21
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,17,22
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,17,23
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,5,18,0
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,18,1
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,18,2
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,18,3
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,18,4
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,18,5
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,18,6
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,18,7
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,18,8
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,18,10
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,18,11
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,18,12
Albemarle HS,38.07657,-78.50397,o3,0.032,ppm,2020,5,18,13
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,18,14
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,18,15
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,18,16
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,18,17
Albemarle HS,38.07657,-78.50397,o3,0.029,ppm,2020,5,18,18
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,5,18,19
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,5,18,20
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,5,18,21
Albemarle HS,38.07657,-78.50397,o3,0.027,ppm,2020,5,18,22
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,5,18,23
Albemarle HS,38.07657,-78.50397,o3,0.028,ppm,2020,5,19,0
Albemarle HS,38.07657,-78.50397,o3,0.026,ppm,2020,5,19,1
Albemarle HS,38.07657,-78.50397,o3,0.025,ppm,2020,5,19,4
Albemarle HS,38.07657,-78.50397,o3,0.03,ppm,2020,5,19,5
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,19,6
Albemarle HS,38.07657,-78.50397,o3,0.034,ppm,2020,5,19,7
Albemarle HS,38.07657,-78.50397,o3,0.031,ppm,2020,5,19,8
Albemarle HS,38.07657,-78.50397,o3,0.033,ppm,2020,5,19,9
Albemarle HS,38.07657,-78.50397,o3,0.035,ppm,2020,5,19,10
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,19,11
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,19,12
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,19,13
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,19,14
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,19,15
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,19,16
Albemarle HS,38.07657,-78.50397,o3,0.039,ppm,2020,5,19,17
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,19,18
Albemarle HS,38.07657,-78.50397,o3,0.036,ppm,2020,5,19,19
Albemarle HS,38.07657,-78.50397,o3,0.037,ppm,2020,5,19,20
Albemarle HS,38.07657,-78.50397,o3,0.042,ppm,2020,5,19,21
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,19,22
Albemarle HS,38.07657,-78.50397,o3,0.044,ppm,2020,5,19,23
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,20,0
Albemarle HS,38.07657,-78.50397,o3,0.043,ppm,2020,5,20,1
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,20,2
Albemarle HS,38.07657,-78.50397,o3,0.04,ppm,2020,5,20,3
Albemarle HS,38.07657,-78.50397,o3,0.041,ppm,2020,5,20,4
